iupac	alternative	cas	csid	formula
1-chlorobutane  		109-69-3	7714	C4H9Cl 
morpholine  		110-91-8	13837537	C4H9NO 
pyrrolidine  		123-75-1	29008	C4H9N 
N,N-dimethylacetamide  	NN-dimethylacetamide  	127-19-5	29107	C4H9NO 
butane-1,4-diol  	14-butanediol  	110-63-4	13835209	C4H10O2 
butane-1-thiol  	1-butanethiol  	109-79-5	7721	C4H10S 
butan-1-ol  	1-butanol  	71-36-3	258	C4H10O 
(2-hydroxyethoxy)ethan-2-ol  	diethylene-glycol  	111-46-6	13835180	C4H10O3 
ethylsulfanylethane  	diethyl-sulfide  	352-93-2	9233	C4H10S 
2-methylpropane  	isobutane  	75-28-5	6120	C4H10 
2-methylpropan-2-ol  	2-methyl-2-propanol  	75-65-0	6146	C4H10O 
2-(2-hydroxyethylamino)ethanol  	diethanolamine  	111-42-2	13835604	C4H11NO2 
N-ethylethanamine  	diethylamine  	109-89-7	7730	C4H11N 
butan-1-amine  	n-butylamine  	109-73-9	7716	C4H11N 
2-methylpropan-2-amine  	tert-butylamine  	75-64-9	6145	C4H11N 
pyridine  		110-86-1	1020	C5H5N 
cyclopentanone  		120-92-3	8141	C5H8O 
methyl 2-methylprop-2-enoate  	methyl-methacrylate  	80-62-6	6406	C5H8O2 
pentane-2,4-dione  	24-pentanedione  	123-54-6	29001	C5H8O2 
1-cyclopropylethanone  	cyclopropyl-methyl-ketone  	765-43-5	12463	C5H8O 
pentanenitrile  		110-59-8	7770	C5H9N 
ethyl propanoate  	ethyl-propanoate  	105-37-3	7463	C5H10O2 
diethyl carbonate  	diethyl-carbonate  	105-58-8	7478	C5H10O3 
pentane-1,5-diol  	15-pentanediol  	111-29-5	13839441	C5H12O2 
pentan-1-ol  	1-pentanol  	71-41-0	6040	C5H12O 
2-methylbutan-2-ol  	2-methyl-2-butanol  	75-85-4	6165	C5H12O 
pentan-3-ol  	3-pentanol  	584-02-1	10947	C5H12O 
pentan-3-amine  	1-ethylpropylamine  	616-24-0	11524	C5H13N 
1,2,3,4-tetrafluorobenzene  	1234-tetrafluorobenzene  	551-62-2	21106162	C6H2F4 
1,2,3,5-tetrafluorobenzene  	1235-tetrafluorobenzene  	2367-82-0	21159625	C6H2F4 
1,2-difluorobenzene  	12-difluorobenzene  	367-11-3	9325	C6H4F2 
1,3-difluorobenzene  	13-difluorobenzene  	372-18-9	9358	C6H4F2 
fluorobenzene  		462-06-6	9614	C6H5F 
nitrobenzene  		98-95-3	7138	C6H5NO2 
2-chloroaniline  		95-51-2	13854248	C6H6ClN 
benzenethiol  		108-98-5	7681	C6H6S 
phenol  		108-95-2	971	C6H6O 
2-methylpyridine  		109-06-8	13839199	C6H7N 
4-methylpyridine  		108-89-4	13874733	C6H7N 
3-methylpyridine  		108-99-6	21106520	C6H7N 
cyclohexanone  		108-94-1	7679	C6H10O 
hexan-2-one  	2-hexanone  	591-78-6	11095	C6H12O 
2,4,6-trimethyl-1,3,5-trioxane  	paraldehyde  	123-63-7	21106173	C6H12O3 
(E)-hex-2-ene  	E-hex-2-ene  	4050-45-7	555073	C6H12 
cyclohexanamine  	cyclohexylamine  	108-91-8	7677	C6H13N 
1-methoxy-2-(2-methoxyethoxy)ethane  	diethylene-glycol-dimethyl-ether  	111-96-6	13839575	C6H14O3 
2-propan-2-yloxypropane  	diisopropyl-ether  	108-20-3	7626	C6H14O 
N-propan-2-ylpropan-2-amine  	diisopropylamine  	108-18-9	7624	C6H15N 
N,N-diethylethanamine  	triethylamine  	121-44-8	8158	C6H15N 
triethyl phosphate  	triethyl-phosphate  	78-40-0	6287	C6H15O4P 
benzonitrile  		100-47-0	7224	C7H5N 
trifluoromethylbenzene  	trifluoromethyl-benzene  	98-08-8	7090	C7H5F3 
benzaldehyde  		100-52-7	235	C7H6O 
2-methylphenol  		95-48-7	13835772	C7H8O 
3-methylphenol  		108-39-4	21105871	C7H8O 
4-methylphenol  		106-44-5	13839082	C7H8O 
methoxybenzene  	anisole  	100-66-3	7238	C7H8O 
toluene  		108-88-3	1108	C7H8 
phenylmethanol  		100-51-6	13860335	C7H8O 
diethyl propanedioate  	diethyl-malonate  	105-53-3	13863636	C7H12O4 
2,4-dimethylpentan-3-one  	24-dimethyl-3-pentanone  	565-80-0	10797	C7H14O 
heptan-2-one  	2-heptanone  	110-43-0	7760	C7H14O 
1-phenylethanone  	acetophenone  	98-86-2	7132	C8H8O 
methyl benzoate  	methyl-benzoate  	93-58-3	6883	C8H8O2 
methyl 2-hydroxybenzoate  	methyl-salicylate  	119-36-8	13848808	C8H8O3 
ethenylbenzene  	styrene  	100-42-5	7220	C8H8 
1,2-dimethoxybenzene  	12-dimethoxybenzene  	91-16-7	13861009	C8H10O2 
ethylbenzene  		100-41-4	7219	C8H10 
1,2-dimethylbenzene  	o-xylene  	95-47-6	6967	C8H10 
2,4,6-trimethylpyridine  	246-trimethylpyridine  	108-75-8	21106174	C8H11N 
octan-1-ol  	1-octanol  	111-87-5	932	C8H18O 
1-butoxybutane  	dibutyl-ether  	142-96-1	8569	C8H18O 
N-butylbutan-1-amine  	dibutylamine  	111-92-2	7856	C8H19N 
isoquinoline  		119-65-3	8098	C9H7N 
quinoline  		91-22-5	6780	C9H7N 
(1-methylethyl)benzene  	isopropylbenzene  	98-82-8	7128	C9H12 
1,2,4-trimethylbenzene  	124-trimethylbenzene  	95-63-6	6977	C9H12 
2,6-dimethylheptan-4-one  	26-dimethyl-4-heptanone  	108-83-8	7670	C9H18O 
1-chloronaphthalene  		90-13-1	6737	C10H7Cl 
phenoxybenzene  	diphenyl-ether  	101-84-8	7302	C12H10O
